"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2020","55.50","55.47","56.10","55.11","2.66M","0.05%"
"30.12.2020","55.47","54.38","55.64","54.38","3.79M","2.10%"
"29.12.2020","54.33","54.61","54.82","53.85","2.22M","0.07%"
"28.12.2020","54.29","55.26","55.77","54.19","3.67M","-0.91%"
"24.12.2020","54.79","54.92","54.97","54.33","1.07M","0.07%"
"23.12.2020","54.75","55.24","55.76","54.75","2.25M","0.15%"
"22.12.2020","54.67","55.08","55.24","54.45","2.27M","-0.74%"
"21.12.2020","55.08","54.00","55.19","53.79","4.46M","-1.04%"
"18.12.2020","55.66","55.11","55.75","54.24","11.54M","3.40%"
"17.12.2020","53.83","54.24","54.28","53.60","2.22M","0.00%"
"16.12.2020","53.83","54.00","54.10","53.25","1.95M","-0.55%"
"15.12.2020","54.13","53.82","54.14","53.19","2.34M","2.02%"
"14.12.2020","53.06","54.66","54.75","53.05","3.12M","-1.74%"
"11.12.2020","54.00","54.29","54.45","53.57","2.67M","-0.79%"
"10.12.2020","54.43","54.31","55.09","54.04","3.40M","-0.42%"
"09.12.2020","54.66","55.04","55.73","54.35","3.22M","0.20%"
"08.12.2020","54.55","52.90","54.64","52.90","3.16M","2.52%"
"07.12.2020","53.21","54.70","54.80","53.03","3.60M","-3.34%"
"04.12.2020","55.05","53.81","55.10","53.80","3.29M","2.71%"
"03.12.2020","53.60","53.06","53.87","52.82","3.21M","0.75%"
"02.12.2020","53.20","53.14","53.56","52.70","3.72M","-0.62%"
"01.12.2020","53.53","54.43","54.43","52.90","4.31M","0.98%"
"30.11.2020","53.01","54.85","54.85","52.81","8.76M","-4.31%"
"27.11.2020","55.40","55.91","56.05","55.01","2.85M","-1.83%"
"25.11.2020","56.43","57.45","57.45","56.17","4.16M","-2.25%"
"24.11.2020","57.73","56.94","58.18","56.66","4.44M","3.20%"
"23.11.2020","55.94","55.37","56.29","55.34","4.56M","2.21%"
"20.11.2020","54.73","55.07","55.42","54.28","2.87M","-1.10%"
"19.11.2020","55.34","55.30","55.48","53.94","3.51M","0.07%"
"18.11.2020","55.30","54.65","56.28","54.53","5.90M","1.51%"
"17.11.2020","54.48","53.16","54.56","52.86","4.79M","1.02%"
"16.11.2020","53.93","53.39","53.93","52.15","4.08M","3.77%"
"14.11.2020","51.97","51.97","51.97","51.97","-","0.00%"
"13.11.2020","51.97","50.63","52.12","50.57","3.48M","1.82%"
"12.11.2020","51.04","51.73","52.05","50.56","3.47M","-2.24%"
"11.11.2020","52.21","53.25","53.25","52.02","4.12M","-2.34%"
"10.11.2020","53.46","52.30","53.70","52.18","6.15M","2.57%"
"09.11.2020","52.12","51.94","54.16","51.54","9.21M","8.07%"
"06.11.2020","48.23","49.23","49.82","48.03","3.06M","-1.51%"
"05.11.2020","48.97","46.97","49.44","46.95","4.25M","5.43%"
"04.11.2020","46.45","47.93","48.32","46.26","4.54M","-4.68%"
"03.11.2020","48.73","48.26","49.02","47.70","3.29M","1.90%"
"02.11.2020","47.82","46.13","48.06","45.90","3.68M","5.12%"
"30.10.2020","45.49","45.86","46.19","44.73","5.17M","-1.64%"
"29.10.2020","46.25","44.63","46.66","44.57","4.30M","2.37%"
"28.10.2020","45.18","44.97","45.70","44.33","6.16M","-2.98%"
"27.10.2020","46.57","46.93","47.19","46.39","4.14M","-1.23%"
"26.10.2020","47.15","47.86","48.12","46.82","4.03M","-2.84%"
"23.10.2020","48.53","49.52","49.95","48.41","3.12M","-0.59%"
"22.10.2020","48.82","50.00","50.04","47.15","5.25M","0.56%"
"21.10.2020","48.55","49.11","49.71","48.55","4.09M","-1.60%"
"20.10.2020","49.34","49.64","50.15","49.25","2.50M","1.02%"
"19.10.2020","48.84","49.41","50.23","48.75","2.90M","-0.93%"
"16.10.2020","49.30","49.37","49.99","49.13","2.75M","0.59%"
"15.10.2020","49.01","47.85","49.07","47.85","2.79M","0.37%"
"14.10.2020","48.83","48.00","48.95","47.42","5.32M","1.98%"
"13.10.2020","47.88","48.26","48.97","47.81","6.83M","-1.44%"
"12.10.2020","48.58","49.50","49.50","48.28","3.01M","-1.58%"
"09.10.2020","49.36","49.80","50.09","48.70","4.47M","-0.04%"
"08.10.2020","49.38","48.68","49.39","48.48","2.96M","2.24%"
"07.10.2020","48.30","48.54","49.00","48.00","4.51M","0.88%"
"06.10.2020","47.88","49.10","49.78","47.86","4.47M","-1.44%"
"05.10.2020","48.58","47.90","48.88","47.70","3.91M","2.68%"
"02.10.2020","47.31","45.37","47.47","45.13","4.56M","2.60%"
"01.10.2020","46.11","47.02","47.49","45.93","3.41M","-2.00%"
"30.09.2020","47.05","47.07","48.11","46.62","4.66M","1.03%"
"29.09.2020","46.57","47.22","47.76","46.26","2.72M","-1.92%"
"28.09.2020","47.48","46.77","48.27","46.77","3.99M","3.13%"
"25.09.2020","46.04","45.77","46.40","45.63","4.09M","-0.80%"
"24.09.2020","46.41","46.54","46.99","45.70","4.65M","-0.71%"
"23.09.2020","46.74","47.58","48.06","46.49","4.02M","-2.22%"
"22.09.2020","47.80","47.86","48.12","47.20","4.18M","-0.23%"
"21.09.2020","47.91","48.72","49.23","47.19","6.47M","-4.88%"
"18.09.2020","50.37","50.53","51.23","50.25","6.27M","-1.18%"
"17.09.2020","50.97","49.05","51.23","48.90","5.25M","2.56%"
"16.09.2020","49.70","50.28","51.09","49.44","5.86M","-2.68%"
"15.09.2020","51.07","50.43","51.56","50.43","4.77M","1.96%"
"14.09.2020","50.09","50.11","50.49","49.74","5.30M","0.48%"
"11.09.2020","49.85","49.21","50.42","49.04","6.23M","2.36%"
"10.09.2020","48.70","49.43","49.74","48.68","4.21M","-1.08%"
"09.09.2020","49.23","48.51","49.86","48.51","4.17M","2.71%"
"08.09.2020","47.93","47.57","48.41","47.48","4.28M","-1.38%"
"04.09.2020","48.60","49.29","49.70","48.08","5.33M","0.43%"
"03.09.2020","48.39","49.17","49.78","47.92","6.73M","-1.69%"
"02.09.2020","49.22","47.68","49.26","47.44","7.31M","4.13%"
"01.09.2020","47.27","44.79","47.28","44.47","5.43M","4.77%"
"31.08.2020","45.12","45.97","46.11","45.10","3.92M","-2.02%"
"28.08.2020","46.05","45.41","46.21","44.97","3.77M","-0.24%"
"27.08.2020","46.16","46.61","46.92","45.82","3.70M","-0.39%"
"26.08.2020","46.34","45.65","46.65","45.29","3.93M","1.65%"
"25.08.2020","45.59","46.40","46.65","45.48","4.19M","-1.15%"
"24.08.2020","46.12","44.13","46.15","44.06","4.61M","5.80%"
"21.08.2020","43.59","43.50","43.87","43.25","2.51M","-0.23%"
"20.08.2020","43.69","44.00","44.14","43.53","3.32M","-2.13%"
"19.08.2020","44.64","44.60","45.09","44.26","3.45M","-0.16%"
"18.08.2020","44.71","44.41","45.02","44.31","2.45M","0.56%"
"17.08.2020","44.46","45.10","45.44","44.22","3.26M","-0.91%"
"14.08.2020","44.87","43.95","45.14","43.83","2.00M","0.99%"
"13.08.2020","44.43","43.94","44.86","43.84","2.77M","0.34%"
"12.08.2020","44.28","45.20","45.29","43.93","2.58M","-0.49%"
"11.08.2020","44.50","45.55","46.07","44.36","4.37M","-0.67%"
"10.08.2020","44.80","42.89","44.89","42.89","4.25M","5.09%"
"07.08.2020","42.63","41.58","42.67","41.44","2.91M","1.38%"
"06.08.2020","42.05","41.74","42.30","41.07","3.72M","0.14%"
"05.08.2020","41.99","41.95","42.48","41.75","3.63M","1.62%"
"04.08.2020","41.32","40.04","41.86","39.90","5.41M","3.07%"
"03.08.2020","40.09","41.22","41.24","40.09","5.08M","-2.36%"
"31.07.2020","41.06","41.49","41.92","40.59","7.46M","-1.61%"
"30.07.2020","41.73","42.58","42.74","41.36","4.12M","-4.11%"
"29.07.2020","43.52","42.80","43.64","42.74","3.19M","2.11%"
"28.07.2020","42.62","43.73","43.98","42.60","3.40M","-3.14%"
"27.07.2020","44.00","42.87","44.48","42.55","4.73M","3.26%"
"24.07.2020","42.61","42.82","43.48","42.30","3.00M","-0.49%"
"23.07.2020","42.82","42.71","43.14","41.93","6.57M","-3.43%"
"22.07.2020","44.34","42.94","44.46","42.91","5.79M","3.02%"
"21.07.2020","43.04","42.65","43.42","42.65","3.40M","1.75%"
"20.07.2020","42.30","43.34","43.67","42.12","3.58M","-3.14%"
"17.07.2020","43.67","44.07","44.15","42.96","4.61M","-0.37%"
"16.07.2020","43.83","43.08","44.26","42.91","4.26M","1.15%"
"15.07.2020","43.33","43.70","44.06","42.56","3.79M","2.10%"
"14.07.2020","42.44","41.36","42.68","41.24","4.35M","2.91%"
"13.07.2020","41.24","41.11","41.84","40.55","3.09M","1.18%"
"10.07.2020","40.76","39.44","40.82","39.42","3.01M","3.35%"
"09.07.2020","39.44","40.40","40.50","39.17","3.67M","-2.26%"
"08.07.2020","40.35","41.36","41.76","39.63","4.82M","-3.21%"
"07.07.2020","41.69","41.74","42.07","41.17","4.54M","-1.79%"
"06.07.2020","42.45","42.65","42.78","41.57","4.68M","2.07%"
"02.07.2020","41.59","41.66","42.25","40.91","4.02M","2.06%"
"01.07.2020","40.75","40.75","41.30","40.33","4.02M","-0.02%"
"30.06.2020","40.76","40.70","40.94","39.76","4.84M","-0.54%"
"29.06.2020","40.98","40.44","41.19","40.23","7.76M","2.96%"
"26.06.2020","39.80","39.43","39.97","38.74","8.33M","-0.45%"
"25.06.2020","39.98","37.98","40.02","37.68","5.99M","3.98%"
"24.06.2020","38.45","40.45","40.72","38.33","7.71M","-7.01%"
