"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2020","132.74","130.00","132.87","129.48","511.38K","2.00%"
"30.12.2020","130.14","129.78","130.53","129.46","394.45K","0.77%"
"29.12.2020","129.14","129.65","129.87","128.90","303.18K","0.23%"
"28.12.2020","128.85","129.08","129.22","127.92","457.99K","0.18%"
"24.12.2020","128.62","127.98","128.74","127.59","191.83K","0.52%"
"23.12.2020","127.95","130.49","130.74","127.94","483.72K","-1.50%"
"22.12.2020","129.90","127.25","130.32","127.16","1.04M","1.44%"
"21.12.2020","128.05","128.17","128.17","124.34","1.11M","-0.43%"
"18.12.2020","128.60","128.19","129.64","127.95","1.71M","0.08%"
"17.12.2020","128.50","127.84","129.47","127.30","1.05M","1.10%"
"16.12.2020","127.10","127.90","128.31","126.71","1.08M","-0.15%"
"15.12.2020","127.29","124.94","128.35","124.94","851.86K","2.62%"
"14.12.2020","124.04","126.72","128.10","123.90","638.86K","-1.30%"
"11.12.2020","125.67","124.56","125.97","124.01","550.57K","0.54%"
"10.12.2020","124.99","125.75","126.36","124.67","702.44K","-0.88%"
"09.12.2020","126.10","128.89","129.66","124.08","953.32K","-1.98%"
"08.12.2020","128.65","128.41","129.20","127.37","621.37K","0.07%"
"07.12.2020","128.56","125.66","128.96","125.66","1.70M","2.60%"
"04.12.2020","125.30","124.86","127.00","124.68","850.15K","0.32%"
"03.12.2020","124.90","126.87","127.04","123.27","1.78M","-3.45%"
"02.12.2020","129.36","129.71","130.00","128.25","569.30K","-0.42%"
"01.12.2020","129.91","127.33","130.40","127.33","730.17K","1.50%"
"30.11.2020","127.99","127.45","128.05","126.48","1.04M","0.68%"
"27.11.2020","127.12","126.97","127.51","126.28","517.65K","-0.16%"
"25.11.2020","127.33","127.19","128.20","127.04","745.31K","0.05%"
"24.11.2020","127.27","126.40","127.70","126.23","914.07K","1.00%"
"23.11.2020","126.01","126.80","127.47","124.84","706.96K","-0.25%"
"20.11.2020","126.33","125.19","127.37","124.66","945.85K","1.26%"
"19.11.2020","124.76","124.06","126.66","123.30","1.11M","1.65%"
"18.11.2020","122.73","123.87","124.12","122.23","1.00M","-1.29%"
"17.11.2020","124.33","125.01","125.07","123.70","991.83K","-0.96%"
"16.11.2020","125.53","126.01","126.44","124.15","1.09M","-0.23%"
"13.11.2020","125.82","127.45","128.21","125.31","773.30K","-0.81%"
"12.11.2020","126.85","130.27","130.27","126.46","630.72K","-2.27%"
"11.11.2020","129.79","128.00","131.13","127.63","659.00K","2.09%"
"10.11.2020","127.13","129.27","129.98","126.05","1.24M","-1.97%"
"09.11.2020","129.68","139.50","139.50","129.25","1.01M","-2.64%"
"06.11.2020","133.20","133.22","133.97","131.81","599.81K","-0.01%"
"05.11.2020","133.21","130.96","133.74","130.96","845.57K","3.02%"
"04.11.2020","129.30","126.04","131.53","126.03","686.76K","3.51%"
"03.11.2020","124.91","125.08","126.97","124.17","430.70K","1.40%"
"02.11.2020","123.18","122.45","124.89","122.26","530.39K","1.81%"
"30.10.2020","120.99","121.06","122.98","119.76","820.43K","-0.84%"
"29.10.2020","122.01","121.73","123.69","120.75","604.13K","0.23%"
"28.10.2020","121.73","123.67","123.67","121.02","605.37K","-2.69%"
"27.10.2020","125.10","127.74","128.30","125.07","532.85K","-1.79%"
"26.10.2020","127.38","127.76","128.37","126.57","627.14K","-1.35%"
