"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2020","27,444.17","27,559.10","27,572.57","27,338.56","505.87M","-0.45%"
"29.12.2020","27,568.15","26,936.38","27,602.52","26,921.14","594.33M","2.66%"
"28.12.2020","26,854.03","26,691.29","26,854.03","26,664.60","506.67M","0.74%"
"25.12.2020","26,656.61","26,708.10","26,716.61","26,638.28","333.99M","-0.04%"
"24.12.2020","26,668.35","26,635.11","26,764.53","26,605.26","479.33M","0.54%"
"23.12.2020","26,524.79","26,580.43","26,585.21","26,414.74","560.12M","0.33%"
"22.12.2020","26,436.39","26,559.33","26,639.99","26,361.66","586.45M","-1.04%"
"21.12.2020","26,714.42","26,834.10","26,905.67","26,533.63","607.19M","-0.18%"
"18.12.2020","26,763.39","26,775.53","26,824.29","26,707.30","737.84M","-0.16%"
"17.12.2020","26,806.67","26,744.50","26,843.05","26,676.28","614.94M","0.18%"
"16.12.2020","26,757.40","26,835.59","26,874.98","26,717.03","613.31M","0.26%"
"15.12.2020","26,687.84","26,683.11","26,736.84","26,605.54","593.32M","-0.17%"
"14.12.2020","26,732.44","26,659.53","26,870.47","26,648.69","599.61M","0.30%"
"11.12.2020","26,652.52","26,732.85","26,819.41","26,553.01","748.74M","-0.39%"
"10.12.2020","26,756.24","26,688.50","26,852.77","26,639.98","692.46M","-0.23%"
"09.12.2020","26,817.94","26,526.34","26,826.78","26,520.60","618.49M","1.33%"
"08.12.2020","26,467.08","26,380.32","26,523.30","26,327.08","550.56M","-0.30%"
"07.12.2020","26,547.44","26,894.25","26,894.25","26,500.32","615.83M","-0.76%"
"04.12.2020","26,751.24","26,697.26","26,799.83","26,646.08","616.22M","-0.22%"
"03.12.2020","26,809.37","26,740.30","26,868.09","26,719.23","694.76M","0.03%"
"02.12.2020","26,800.98","26,884.99","26,889.90","26,695.28","801.85M","0.05%"
"01.12.2020","26,787.54","26,624.20","26,852.16","26,618.39","732.39M","1.34%"
"30.11.2020","26,433.62","26,830.10","26,834.20","26,405.83","1.48B","-0.79%"
"27.11.2020","26,644.71","26,530.28","26,672.40","26,419.05","862.27M","0.40%"
"26.11.2020","26,537.31","26,255.47","26,560.03","26,255.47","635.48M","0.91%"
"25.11.2020","26,296.86","26,468.52","26,706.42","26,258.35","925.23M","0.50%"
"24.11.2020","26,165.59","25,901.45","26,261.78","25,901.45","817.07M","2.50%"
"20.11.2020","25,527.37","25,486.83","25,555.37","25,425.59","634.29M","-0.42%"
"19.11.2020","25,634.34","25,628.73","25,650.86","25,474.94","820.38M","-0.36%"
"18.11.2020","25,728.14","25,860.55","25,882.14","25,656.70","692.44M","-1.10%"
"17.11.2020","26,014.62","26,043.45","26,057.30","25,851.54","848.29M","0.42%"
"16.11.2020","25,906.93","25,652.69","25,928.18","25,640.29","849.36M","2.05%"
"13.11.2020","25,385.87","25,405.64","25,456.18","25,215.31","775.85M","-0.53%"
"12.11.2020","25,520.88","25,439.35","25,587.96","25,316.60","805.33M","0.68%"
"11.11.2020","25,349.60","25,145.66","25,401.30","25,145.66","1.02B","1.78%"
"10.11.2020","24,905.59","25,087.30","25,279.94","24,833.18","1.28B","0.26%"
"09.11.2020","24,839.84","24,568.84","24,962.80","24,541.28","670.16M","2.12%"
"06.11.2020","24,325.23","24,076.22","24,389.00","24,039.16","731.90M","0.91%"
"05.11.2020","24,105.28","23,776.20","24,112.42","23,756.78","786.18M","1.73%"
"04.11.2020","23,695.23","23,619.58","23,801.88","23,505.78","816.07M","1.72%"
"02.11.2020","23,295.48","23,110.74","23,370.91","23,096.79","697.47M","1.39%"
"30.10.2020","22,977.13","23,320.71","23,320.71","22,948.47","766.81M","-1.52%"
"29.10.2020","23,331.94","23,170.76","23,374.10","23,170.76","575.16M","-0.37%"
"28.10.2020","23,418.51","23,372.61","23,451.03","23,334.23","671.40M","-0.29%"
"27.10.2020","23,485.80","23,376.96","23,485.80","23,232.31","526.86M","-0.04%"
"26.10.2020","23,494.34","23,520.78","23,572.60","23,475.52","416.95M","-0.09%"
"23.10.2020","23,516.59","23,558.71","23,587.90","23,469.13","492.25M","0.18%"
"22.10.2020","23,474.27","23,525.59","23,555.78","23,436.17","448.66M","-0.70%"
"21.10.2020","23,639.46","23,615.52","23,702.30","23,611.33","533.29M","0.31%"
"20.10.2020","23,567.04","23,587.87","23,674.87","23,518.29","486.74M","-0.44%"
"19.10.2020","23,671.13","23,543.69","23,707.16","23,543.69","462.73M","1.11%"
"16.10.2020","23,410.63","23,478.40","23,538.74","23,382.67","481.27M","-0.41%"
"15.10.2020","23,507.23","23,548.45","23,581.16","23,458.43","483.25M","-0.51%"
"14.10.2020","23,626.73","23,545.66","23,656.70","23,518.81","540.24M","0.11%"
"13.10.2020","23,601.78","23,667.90","23,667.90","23,490.95","471.89M","0.18%"
"12.10.2020","23,558.69","23,588.74","23,597.91","23,501.26","448.94M","-0.26%"
"09.10.2020","23,619.69","23,713.86","23,725.58","23,552.73","560.94M","-0.12%"
"08.10.2020","23,647.07","23,506.34","23,701.77","23,477.73","563.45M","0.96%"
"07.10.2020","23,422.82","23,272.45","23,432.73","23,272.45","520.93M","-0.05%"
"06.10.2020","23,433.73","23,420.07","23,441.16","23,331.40","576.64M","0.52%"
"05.10.2020","23,312.14","23,254.28","23,377.43","23,252.69","594.70M","1.23%"
"02.10.2020","23,029.90","23,294.80","23,365.58","22,951.41","862.93M","-0.67%"
"01.10.2020","23,185.12","23,185.12","23,185.12","23,185.12","-","0.00%"
"30.09.2020","23,185.12","23,478.85","23,522.38","23,170.89","882.18M","-1.50%"
"29.09.2020","23,539.10","23,410.50","23,622.74","23,347.64","613.48M","0.12%"
"28.09.2020","23,511.62","23,391.96","23,516.04","23,303.03","819.82M","1.32%"
"25.09.2020","23,204.62","23,217.33","23,272.67","23,154.66","721.75M","0.51%"
"24.09.2020","23,087.82","23,215.00","23,234.72","23,039.48","705.32M","-1.11%"
"23.09.2020","23,346.49","23,245.89","23,370.13","23,154.45","769.61M","-0.06%"
"18.09.2020","23,360.30","23,321.19","23,398.46","23,290.19","826.01M","0.18%"
"17.09.2020","23,319.37","23,416.62","23,446.39","23,272.23","610.98M","-0.67%"
"16.09.2020","23,475.53","23,425.23","23,506.45","23,397.43","630.21M","0.09%"
"15.09.2020","23,454.89","23,438.83","23,477.86","23,351.35","617.63M","-0.44%"
"14.09.2020","23,559.30","23,431.16","23,582.21","23,429.42","654.36M","0.65%"
"11.09.2020","23,406.49","23,114.63","23,412.93","23,114.63","768.96M","0.74%"
"10.09.2020","23,235.47","23,193.47","23,250.31","23,134.02","675.86M","0.88%"
"09.09.2020","23,032.54","22,966.89","23,059.02","22,878.71","844.32M","-1.04%"
"08.09.2020","23,274.13","23,188.79","23,277.66","23,129.66","621.13M","0.80%"
"07.09.2020","23,089.95","23,145.47","23,218.22","23,086.89","572.77M","-0.50%"
"04.09.2020","23,205.43","23,130.32","23,257.69","23,098.77","593.15M","-1.11%"
"03.09.2020","23,465.53","23,524.49","23,580.51","23,426.11","574.65M","0.94%"
"02.09.2020","23,247.15","23,261.09","23,287.40","23,170.82","526.37M","0.47%"
"01.09.2020","23,138.07","23,089.63","23,206.66","23,047.77","595.68M","-0.01%"
"31.08.2020","23,139.76","23,147.14","23,342.32","23,102.61","809.89M","1.12%"
"28.08.2020","22,882.65","23,232.30","23,376.13","22,594.79","980.83M","-1.41%"
"27.08.2020","23,208.86","23,311.04","23,323.07","23,177.85","526.75M","-0.35%"
"26.08.2020","23,290.86","23,257.05","23,348.80","23,203.00","477.90M","-0.03%"
"25.08.2020","23,296.77","23,242.74","23,431.04","23,225.39","752.69M","1.35%"
"24.08.2020","22,985.51","22,913.20","23,012.71","22,862.54","405.89M","0.28%"
