"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2021","1,901.60","1,901.60","1,901.60","1,901.60","-","0.34%"
"31.12.2020","1,895.10","1,899.00","1,904.90","1,889.10","130.63K","0.09%"
"30.12.2020","1,893.40","1,881.80","1,899.00","1,879.50","133.66K","0.56%"
"29.12.2020","1,882.90","1,878.00","1,891.30","1,875.60","149.27K","0.13%"
"28.12.2020","1,880.40","1,887.00","1,904.10","1,873.00","196.76K","-0.15%"
"24.12.2020","1,883.20","1,877.30","1,887.40","1,873.10","89.41K","0.27%"
"23.12.2020","1,878.10","1,865.60","1,883.70","1,860.90","162.54K","0.42%"
"22.12.2020","1,870.30","1,883.00","1,889.40","1,863.70","176.02K","-0.66%"
"21.12.2020","1,882.80","1,892.90","1,912.00","1,859.00","232.05K","-0.32%"
"18.12.2020","1,888.90","1,891.30","1,895.70","1,881.90","153.23K","-0.08%"
"17.12.2020","1,890.40","1,868.40","1,902.00","1,865.90","219.87K","1.68%"
"16.12.2020","1,859.10","1,857.70","1,870.00","1,848.20","199.68K","0.20%"
"15.12.2020","1,855.30","1,830.50","1,859.30","1,828.50","173.61K","1.27%"
"14.12.2020","1,832.10","1,845.00","1,845.60","1,820.00","168.49K","-0.62%"
"11.12.2020","1,843.60","1,840.00","1,851.80","1,826.80","153.80K","0.34%"
"10.12.2020","1,837.40","1,843.00","1,854.20","1,831.50","164.80K","-0.06%"
"09.12.2020","1,838.50","1,875.40","1,875.90","1,828.20","219.59K","-1.94%"
"08.12.2020","1,874.90","1,866.10","1,879.80","1,863.90","151.79K","0.48%"
"07.12.2020","1,866.00","1,841.10","1,873.00","1,824.80","209.04K","1.41%"
"04.12.2020","1,840.00","1,844.70","1,852.70","1,832.00","171.26K","-0.06%"
"03.12.2020","1,841.10","1,833.90","1,847.40","1,826.70","180.36K","0.60%"
"02.12.2020","1,830.20","1,819.10","1,835.70","1,810.50","185.32K","0.62%"
"01.12.2020","1,818.90","1,780.30","1,821.10","1,778.40","203.65K","2.13%"
"30.11.2020","1,780.90","1,790.80","1,793.30","1,767.20","242.73K","-0.40%"
"27.11.2020","1,788.10","1,812.10","1,822.60","1,776.50","282.35K","-1.05%"
"26.11.2020","1,807.00","1,806.25","1,816.80","1,804.20","-","-0.23%"
"25.11.2020","1,811.20","1,812.00","1,821.70","1,804.70","133.60K","0.02%"
"24.11.2020","1,810.90","1,842.60","1,843.00","1,803.70","126.76K","-1.46%"
"23.11.2020","1,837.80","1,869.80","1,875.00","1,828.00","319.66K","-1.85%"
"20.11.2020","1,872.40","1,864.80","1,879.20","1,859.10","186.17K","0.59%"
"19.11.2020","1,861.50","1,872.00","1,872.60","1,850.00","222.35K","-0.66%"
"18.11.2020","1,873.90","1,879.50","1,884.20","1,860.30","209.00K","-0.59%"
"17.11.2020","1,885.10","1,888.20","1,892.70","1,876.30","160.88K","-0.14%"
"16.11.2020","1,887.80","1,886.60","1,898.00","1,861.50","222.94K","0.08%"
"13.11.2020","1,886.20","1,875.60","1,895.80","1,872.10","162.54K","0.69%"
"12.11.2020","1,873.30","1,863.90","1,883.00","1,860.70","209.93K","0.63%"
"11.11.2020","1,861.60","1,876.10","1,882.50","1,853.90","215.17K","-0.79%"
"10.11.2020","1,876.40","1,864.10","1,888.90","1,858.90","264.87K","1.19%"
"09.11.2020","1,854.40","1,956.00","1,966.10","1,848.00","496.09K","-4.99%"
"06.11.2020","1,951.70","1,950.00","1,961.80","1,937.20","246.78K","0.25%"
"05.11.2020","1,946.80","1,903.40","1,954.30","1,902.20","297.51K","2.67%"
"04.11.2020","1,896.20","1,910.30","1,917.90","1,881.80","293.95K","-0.74%"
"03.11.2020","1,910.40","1,896.40","1,912.20","1,887.60","171.37K","0.95%"
"02.11.2020","1,892.50","1,877.00","1,897.10","1,873.30","164.94K","0.67%"
"30.10.2020","1,879.90","1,867.90","1,890.90","1,863.30","213.17K","0.64%"
"29.10.2020","1,868.00","1,877.50","1,885.10","1,859.20","225.16K","-0.60%"
"28.10.2020","1,879.20","1,909.80","1,912.60","1,869.10","297.09K","-1.71%"
"27.10.2020","1,911.90","1,904.40","1,913.80","1,898.70","153.30K","0.33%"
"26.10.2020","1,905.70","1,906.00","1,911.10","1,892.50","166.31K","0.03%"
"23.10.2020","1,905.20","1,906.50","1,917.30","1,895.20","172.96K","0.03%"
"22.10.2020","1,904.60","1,927.40","1,929.40","1,894.20","215.58K","-1.29%"
"21.10.2020","1,929.50","1,911.60","1,936.00","1,911.60","201.27K","0.74%"
"20.10.2020","1,915.40","1,906.40","1,917.60","1,896.60","163.91K","0.19%"
"19.10.2020","1,911.70","1,903.20","1,923.40","1,900.20","159.85K","0.28%"
"16.10.2020","1,906.40","1,912.70","1,918.70","1,901.10","146.91K","-0.13%"
"15.10.2020","1,908.90","1,906.00","1,913.20","1,892.70","213.57K","0.08%"
"14.10.2020","1,907.30","1,895.40","1,917.50","1,885.00","188.30K","0.67%"
"13.10.2020","1,894.60","1,927.30","1,930.60","1,889.30","267.54K","-1.78%"
"12.10.2020","1,928.90","1,935.00","1,939.40","1,923.80","157.21K","0.14%"
"09.10.2020","1,926.20","1,898.40","1,936.80","1,898.00","229.85K","1.64%"
"08.10.2020","1,895.10","1,890.60","1,905.30","1,885.30","185.45K","0.23%"
"07.10.2020","1,890.80","1,882.60","1,902.40","1,877.10","188.59K","-0.94%"
"06.10.2020","1,908.80","1,917.80","1,927.00","1,878.20","219.44K","-0.59%"
"05.10.2020","1,920.10","1,910.90","1,924.90","1,891.20","177.59K","0.66%"
"02.10.2020","1,907.60","1,911.00","1,923.60","1,895.20","212.73K","-0.45%"
"01.10.2020","1,916.30","1,891.20","1,917.90","1,890.00","262.09K","1.10%"
"30.09.2020","1,895.50","1,903.20","1,908.20","1,885.80","259.87K","-0.40%"
"29.09.2020","1,903.20","1,886.40","1,904.80","1,880.80","217.80K","1.11%"
"28.09.2020","1,882.30","1,862.70","1,888.20","1,851.10","235.92K","0.86%"
"25.09.2020","1,866.30","1,872.70","1,879.30","1,854.10","230.86K","-0.56%"
"24.09.2020","1,876.90","1,866.90","1,880.90","1,851.00","345.04K","0.45%"
"23.09.2020","1,868.40","1,905.10","1,909.90","1,856.00","411.56K","-2.05%"
"22.09.2020","1,907.60","1,918.10","1,925.50","1,898.90","282.71K","-0.16%"
"21.09.2020","1,910.60","1,957.30","1,962.90","1,885.40","381.84K","-2.62%"
"18.09.2020","1,962.10","1,951.10","1,968.20","1,951.10","174.77K","0.63%"
"17.09.2020","1,949.90","1,967.60","1,969.30","1,938.20","273.14K","-1.05%"
"16.09.2020","1,970.50","1,961.40","1,983.80","1,957.20","298.39K","0.22%"
"15.09.2020","1,966.20","1,966.20","1,982.40","1,955.60","239.54K","0.13%"
"14.09.2020","1,963.70","1,948.90","1,972.50","1,945.20","200.09K","0.81%"
"11.09.2020","1,947.90","1,953.80","1,963.40","1,944.00","205.23K","-0.83%"
"10.09.2020","1,964.30","1,955.30","1,975.20","1,948.60","271.48K","0.48%"
"09.09.2020","1,954.90","1,939.40","1,959.70","1,926.30","227.18K","0.60%"
"08.09.2020","1,943.20","1,938.00","1,948.30","1,911.70","416.01K","0.31%"
"07.09.2020","1,937.10","1,940.70","1,947.40","1,930.45","-","-0.18%"
"06.09.2020","1,940.65","1,941.90","1,944.30","1,937.65","-","0.33%"
"04.09.2020","1,934.30","1,938.00","1,956.60","1,921.60","304.74K","-0.18%"
"03.09.2020","1,937.80","1,948.90","1,956.60","1,927.20","303.03K","-0.35%"
"02.09.2020","1,944.70","1,976.80","1,980.40","1,938.90","332.59K","-1.73%"
"01.09.2020","1,978.90","1,973.70","2,001.20","1,969.20","304.89K","0.02%"
"31.08.2020","1,978.60","1,973.90","1,985.80","1,962.30","245.11K","0.19%"
"28.08.2020","1,974.90","1,937.50","1,983.00","1,928.20","334.10K","2.19%"
"27.08.2020","1,932.60","1,963.00","1,987.00","1,914.70","467.17K","-1.02%"
"26.08.2020","1,952.50","1,939.00","1,963.40","1,908.40","342.21K","1.53%"
"25.08.2020","1,923.10","1,935.90","1,944.10","1,919.10","274.11K","-0.83%"
"24.08.2020","1,939.20","1,947.90","1,970.30","1,930.80","286.26K","-0.40%"
"21.08.2020","1,947.00","1,955.60","1,963.10","1,916.60","355.07K","0.03%"
"20.08.2020","1,946.50","1,934.40","1,963.10","1,928.90","383.34K","-1.21%"
"19.08.2020","1,970.30","2,010.50","2,015.60","1,930.50","443.26K","-2.13%"
"18.08.2020","2,013.10","1,993.60","2,024.60","1,985.20","361.48K","0.72%"
"17.08.2020","1,998.70","1,956.40","2,000.80","1,939.10","289.44K","2.51%"
"14.08.2020","1,949.80","1,963.80","1,970.00","1,939.10","241.80K","-1.05%"
"13.08.2020","1,970.40","1,927.30","1,974.80","1,923.00","349.89K","1.10%"
"12.08.2020","1,949.00","1,921.60","1,961.00","1,874.20","459.84K","0.14%"
"11.08.2020","1,946.30","2,038.40","2,040.50","1,911.30","565.00K","-4.58%"
"10.08.2020","2,039.70","2,044.80","2,060.80","2,027.80","251.31K","0.58%"
"07.08.2020","2,028.00","2,076.40","2,089.20","2,024.80","398.13K","-2.00%"
"06.08.2020","2,069.40","2,055.00","2,081.80","2,049.00","312.76K","0.98%"
"05.08.2020","2,049.30","2,037.00","2,070.30","2,027.50","366.38K","1.40%"
"04.08.2020","2,021.00","1,993.50","2,037.70","1,982.60","274.42K","1.75%"
"03.08.2020","1,986.30","1,997.40","2,009.50","1,975.20","178.75K","0.02%"
"31.07.2020","1,985.90","1,973.60","2,005.40","1,971.40","279.32K","0.97%"
"30.07.2020","1,966.80","1,986.40","1,987.30","1,952.30","271.38K","-0.50%"
"29.07.2020","1,976.70","1,971.90","1,998.40","1,955.70","197.82K","0.65%"
"28.07.2020","1,963.90","1,963.20","2,000.00","1,927.50","161.58K","0.43%"
"27.07.2020","1,955.40","1,929.00","1,971.30","1,926.80","137.85K","1.57%"
"24.07.2020","1,925.20","1,912.30","1,933.60","1,908.00","66.45K","0.41%"
"23.07.2020","1,917.40","1,900.00","1,927.10","1,890.40","72.36K","1.31%"
