"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2020","4.28","4.18","4.28","4.18","22.56M","2.17%"
"30.12.2020","4.18","4.12","4.18","4.12","19.76M","1.23%"
"29.12.2020","4.13","4.14","4.16","4.13","13.82M","-0.29%"
"28.12.2020","4.14","4.13","4.17","4.13","19.61M","0.31%"
"25.12.2020","4.13","4.08","4.14","4.07","14.35M","1.00%"
"24.12.2020","4.09","4.11","4.13","4.08","12.14M","-0.32%"
"23.12.2020","4.10","4.06","4.12","4.06","12.73M","0.81%"
"22.12.2020","4.07","4.14","4.14","4.06","16.92M","-1.93%"
"21.12.2020","4.15","4.13","4.16","4.10","14.39M","0.63%"
"18.12.2020","4.13","4.15","4.15","4.10","16.57M","-0.55%"
"17.12.2020","4.15","4.08","4.16","4.08","17.98M","1.67%"
"16.12.2020","4.08","4.07","4.10","4.07","13.59M","0.20%"
"15.12.2020","4.07","4.07","4.08","4.04","12.75M","0.00%"
"14.12.2020","4.07","4.04","4.07","4.03","12.02M","0.79%"
"11.12.2020","4.04","4.07","4.09","4.01","16.04M","-0.93%"
"10.12.2020","4.07","4.06","4.09","4.06","15.03M","0.00%"
"09.12.2020","4.07","4.12","4.14","4.07","16.40M","-0.92%"
"08.12.2020","4.11","4.13","4.15","4.11","15.43M","-0.27%"
"07.12.2020","4.12","4.17","4.17","4.11","21.84M","-1.15%"
"04.12.2020","4.17","4.15","4.18","4.12","15.04M","0.22%"
"03.12.2020","4.16","4.17","4.18","4.13","14.31M","-0.17%"
"02.12.2020","4.17","4.17","4.20","4.15","15.16M","0.00%"
"01.12.2020","4.17","4.09","4.19","4.09","18.18M","2.10%"
"30.11.2020","4.09","4.13","4.18","4.08","26.30M","-0.49%"
"27.11.2020","4.11","4.04","4.11","4.04","20.53M","1.53%"
"26.11.2020","4.05","4.03","4.05","4.01","20.24M","0.42%"
"25.11.2020","4.03","4.08","4.10","4.02","19.42M","-1.15%"
"24.11.2020","4.08","4.10","4.10","4.07","18.27M","-0.56%"
"23.11.2020","4.10","4.05","4.12","4.05","24.86M","1.39%"
"20.11.2020","4.04","4.03","4.05","4.02","14.51M","0.22%"
"19.11.2020","4.03","4.00","4.04","3.98","14.52M","0.85%"
"18.11.2020","4.00","4.00","4.02","3.98","17.19M","-1.38%"
"17.11.2020","4.06","4.05","4.06","4.04","21.45M","0.00%"
"16.11.2020","4.05","4.03","4.06","4.02","25.60M","1.12%"
"13.11.2020","4.01","4.06","4.06","3.98","15.73M","-1.47%"
"12.11.2020","4.07","4.08","4.09","4.06","10.25M","-0.25%"
"11.11.2020","4.08","4.09","4.11","4.07","8.60M","-0.29%"
"10.11.2020","4.09","4.11","4.12","4.07","13.68M","-0.41%"
"09.11.2020","4.11","4.04","4.13","4.04","14.05M","2.01%"
"06.11.2020","4.03","4.03","4.04","4.00","17.16M","-0.20%"
"05.11.2020","4.03","4.00","4.04","4.00","16.40M","1.59%"
"04.11.2020","3.97","3.95","3.99","3.94","16.46M","0.48%"
"03.11.2020","3.95","3.91","3.97","3.91","18.37M","1.23%"
"02.11.2020","3.90","3.91","3.94","3.89","18.58M","0.00%"
"30.10.2020","3.90","3.97","3.98","3.90","16.78M","-1.76%"
"29.10.2020","3.97","3.90","3.99","3.90","28.78M","0.48%"
"28.10.2020","3.95","3.92","3.97","3.92","19.10M","0.64%"
"27.10.2020","3.93","3.92","3.94","3.91","15.22M","0.00%"
"26.10.2020","3.93","3.95","3.95","3.91","27.52M","-1.33%"
"23.10.2020","3.98","4.01","4.04","3.98","24.76M","-0.75%"
"22.10.2020","4.01","4.02","4.02","3.97","10.87M","-0.22%"
"21.10.2020","4.02","4.01","4.03","3.99","19.42M","0.25%"
"20.10.2020","4.01","3.99","4.01","3.98","19.05M","0.48%"
"19.10.2020","3.99","4.03","4.09","3.98","31.46M","-0.89%"
"16.10.2020","4.03","4.03","4.06","4.00","22.97M","0.00%"
"15.10.2020","4.03","4.05","4.06","4.02","15.35M","0.00%"
"14.10.2020","4.03","4.06","4.06","4.02","10.47M","-0.57%"
"13.10.2020","4.05","4.06","4.06","4.02","17.10M","-0.17%"
"12.10.2020","4.06","3.94","4.06","3.94","16.95M","3.02%"
"09.10.2020","3.94","3.92","3.96","3.92","16.53M","1.78%"
"30.09.2020","3.87","3.90","3.92","3.86","26.51M","-0.33%"
"29.09.2020","3.89","3.90","3.91","3.89","12.90M","-0.15%"
"28.09.2020","3.89","3.90","3.92","3.88","15.79M","0.39%"
"25.09.2020","3.88","3.87","3.89","3.86","20.47M","0.31%"
"24.09.2020","3.87","3.91","3.92","3.86","20.55M","-1.78%"
"23.09.2020","3.94","3.92","3.94","3.91","17.95M","0.25%"
"22.09.2020","3.93","3.96","3.99","3.91","23.35M","-1.33%"
"21.09.2020","3.98","4.03","4.05","3.97","22.67M","-1.04%"
"18.09.2020","4.02","3.91","4.02","3.91","28.69M","2.68%"
"17.09.2020","3.92","3.94","3.95","3.90","26.91M","-0.89%"
"16.09.2020","3.95","3.97","3.98","3.93","27.63M","-0.35%"
"15.09.2020","3.96","3.95","3.97","3.93","14.52M","0.46%"
"14.09.2020","3.95","3.93","3.95","3.92","15.14M","0.71%"
"11.09.2020","3.92","3.89","3.92","3.88","13.54M","0.59%"
"10.09.2020","3.90","3.89","3.93","3.89","27.31M","0.26%"
"09.09.2020","3.89","3.93","3.93","3.86","19.25M","-1.82%"
"08.09.2020","3.96","3.92","3.97","3.91","22.91M","0.92%"
"07.09.2020","3.92","3.99","4.02","3.91","24.79M","-1.83%"
"04.09.2020","3.99","4.00","4.01","3.96","30.81M","-1.14%"
"03.09.2020","4.04","4.04","4.10","4.02","12.22M","-0.44%"
"02.09.2020","4.06","4.06","4.08","4.02","19.03M","0.00%"
"01.09.2020","4.06","4.05","4.06","4.02","17.25M","0.27%"
"31.08.2020","4.05","4.07","4.11","4.04","24.79M","-0.32%"
"28.08.2020","4.06","3.97","4.07","3.96","30.60M","2.21%"
"27.08.2020","3.97","3.95","3.97","3.93","22.01M","0.76%"
"26.08.2020","3.94","3.99","4.01","3.94","19.82M","-1.23%"
"25.08.2020","3.99","4.00","4.03","3.98","19.39M","0.00%"
"24.08.2020","3.99","3.98","4.01","3.97","19.43M","0.33%"
"21.08.2020","3.98","3.96","4.00","3.95","16.75M","0.84%"
"20.08.2020","3.94","3.98","3.98","3.93","19.12M","-1.47%"
"19.08.2020","4.00","4.06","4.06","3.99","14.02M","-1.31%"
"18.08.2020","4.06","4.06","4.07","4.03","16.86M","0.00%"
"17.08.2020","4.06","3.99","4.09","3.98","21.61M","2.11%"
"14.08.2020","3.97","3.90","3.98","3.89","19.79M","1.95%"
"13.08.2020","3.90","3.92","3.93","3.89","19.93M","-0.43%"
"12.08.2020","3.91","3.91","3.93","3.84","27.70M","-0.28%"
"11.08.2020","3.93","3.97","4.02","3.92","19.61M","-1.01%"
"10.08.2020","3.97","3.93","4.00","3.91","14.03M","0.53%"
"07.08.2020","3.94","3.98","3.98","3.89","19.98M","-0.85%"
"06.08.2020","3.98","3.97","3.98","3.91","19.15M","0.18%"
"05.08.2020","3.97","3.98","3.98","3.92","18.96M","-0.18%"
"04.08.2020","3.98","3.96","4.00","3.95","30.46M","0.48%"
"03.08.2020","3.96","3.96","3.96","3.92","24.64M","1.41%"
"31.07.2020","3.90","3.89","3.95","3.85","27.54M","0.46%"
"30.07.2020","3.89","3.90","3.92","3.88","25.67M","-0.38%"
"29.07.2020","3.90","3.82","3.91","3.80","33.59M","2.09%"
"28.07.2020","3.82","3.81","3.85","3.80","25.18M","0.53%"
"27.07.2020","3.80","3.77","3.83","3.77","24.48M","0.85%"
"24.07.2020","3.77","3.90","3.92","3.76","41.60M","-4.39%"
"23.07.2020","3.94","3.93","3.96","3.86","43.40M","0.00%"
"22.07.2020","3.94","3.93","4.03","3.92","57.93M","0.20%"
"21.07.2020","3.94","3.95","3.96","3.91","21.28M","0.13%"
"20.07.2020","3.93","3.84","3.94","3.81","25.04M","2.96%"
"17.07.2020","3.82","3.80","3.86","3.77","31.58M","0.00%"
"16.07.2020","3.82","3.97","3.99","3.79","34.74M","-3.73%"
"15.07.2020","3.97","4.02","4.05","3.95","18.51M","-1.05%"
"14.07.2020","4.01","4.05","4.06","3.96","19.69M","-1.13%"
"13.07.2020","4.06","3.99","4.09","3.96","23.87M","1.45%"
"10.07.2020","4.00","4.08","4.08","3.97","28.98M","-2.18%"
"09.07.2020","4.09","4.03","4.09","4.01","34.71M","1.39%"
"08.07.2020","4.03","3.98","4.07","3.95","34.95M","1.23%"
"07.07.2020","3.98","4.16","4.20","3.98","48.96M","-2.66%"
"06.07.2020","4.09","3.75","4.09","3.75","35.74M","9.91%"
"03.07.2020","3.72","3.64","3.72","3.64","25.71M","2.39%"
"02.07.2020","3.63","3.55","3.65","3.55","34.19M","2.45%"
"01.07.2020","3.55","3.48","3.55","3.47","22.85M","2.10%"
"30.06.2020","3.47","3.44","3.49","3.44","22.74M","1.05%"
"29.06.2020","3.44","3.46","3.46","3.42","23.37M","-0.78%"
"24.06.2020","3.47","3.45","3.47","3.44","15.58M","0.76%"
"23.06.2020","3.44","3.42","3.44","3.40","26.30M","0.41%"
"22.06.2020","3.43","3.43","3.45","3.42","23.53M","0.00%"
"19.06.2020","3.43","3.39","3.44","3.39","31.54M","1.03%"
"18.06.2020","3.39","3.36","3.39","3.35","28.31M","0.65%"
"17.06.2020","3.37","3.37","3.37","3.35","13.10M","0.00%"
"16.06.2020","3.37","3.33","3.37","3.33","20.11M","1.57%"
"15.06.2020","3.32","3.36","3.36","3.32","19.67M","-1.43%"
"12.06.2020","3.36","3.34","3.38","3.32","22.98M","0.00%"
"11.06.2020","3.36","3.40","3.40","3.35","25.22M","-0.97%"
"10.06.2020","3.39","3.41","3.41","3.39","14.35M","-0.44%"
"09.06.2020","3.41","3.40","3.41","3.38","20.69M","0.62%"
"08.06.2020","3.39","3.39","3.41","3.38","26.47M","0.24%"
"05.06.2020","3.38","3.37","3.38","3.35","19.52M","0.63%"
"04.06.2020","3.36","3.37","3.38","3.35","21.65M","-0.21%"
"03.06.2020","3.37","3.37","3.41","3.37","18.39M","0.00%"
"02.06.2020","3.37","3.36","3.38","3.35","20.10M","0.30%"
"01.06.2020","3.36","3.30","3.36","3.30","22.59M","2.38%"
"29.05.2020","3.28","3.27","3.29","3.25","33.82M","0.00%"
"28.05.2020","3.28","3.27","3.31","3.25","32.60M","0.18%"
"27.05.2020","3.27","3.28","3.28","3.26","21.31M","-0.27%"
"26.05.2020","3.28","3.25","3.28","3.25","24.53M","0.95%"
"25.05.2020","3.25","3.24","3.25","3.23","25.41M","0.28%"
"22.05.2020","3.24","3.31","3.31","3.24","25.89M","-2.29%"
"21.05.2020","3.32","3.34","3.35","3.31","12.04M","-0.54%"
"20.05.2020","3.33","3.34","3.34","3.33","19.81M","-0.30%"
"19.05.2020","3.34","3.33","3.36","3.33","14.01M","0.66%"
"18.05.2020","3.32","3.30","3.34","3.30","18.95M","0.54%"
"15.05.2020","3.30","3.32","3.33","3.30","14.06M","-0.30%"
"14.05.2020","3.31","3.34","3.34","3.31","13.03M","-1.13%"
"13.05.2020","3.35","3.34","3.35","3.32","12.82M","0.24%"
"12.05.2020","3.34","3.36","3.36","3.33","17.47M","-0.45%"
"11.05.2020","3.36","3.35","3.38","3.34","13.37M","0.00%"
"08.05.2020","3.35","3.33","3.37","3.33","12.58M","1.02%"
"07.05.2020","3.32","3.34","3.34","3.31","15.14M","-0.63%"
"06.05.2020","3.34","3.31","3.34","3.28","15.48M","0.39%"
"30.04.2020","3.33","3.29","3.34","3.29","16.66M","1.43%"
"29.04.2020","3.28","3.27","3.29","3.25","18.46M","0.31%"
"28.04.2020","3.27","3.25","3.28","3.21","30.11M","0.77%"
"27.04.2020","3.25","3.23","3.27","3.23","19.75M","0.37%"
"24.04.2020","3.23","3.26","3.26","3.22","21.63M","-0.89%"
"23.04.2020","3.26","3.27","3.28","3.25","16.67M","0.00%"
"22.04.2020","3.27","3.22","3.27","3.22","20.40M","0.55%"
"21.04.2020","3.25","3.28","3.28","3.22","18.51M","-1.10%"
"20.04.2020","3.28","3.28","3.29","3.26","18.12M","0.34%"
"17.04.2020","3.27","3.25","3.29","3.25","20.85M","0.93%"
"16.04.2020","3.24","3.22","3.24","3.21","15.13M","0.34%"
"15.04.2020","3.23","3.25","3.26","3.23","12.39M","-0.58%"
"14.04.2020","3.25","3.20","3.25","3.20","24.39M","1.69%"
"13.04.2020","3.20","3.22","3.22","3.19","16.77M","-0.53%"
"10.04.2020","3.21","3.23","3.26","3.20","29.41M","-0.46%"
"09.04.2020","3.23","3.22","3.24","3.22","19.50M","0.25%"
"08.04.2020","3.22","3.22","3.23","3.21","24.05M","-0.31%"
"07.04.2020","3.23","3.22","3.24","3.22","25.74M","1.89%"
"03.04.2020","3.17","3.19","3.19","3.16","18.16M","-0.69%"
"02.04.2020","3.19","3.13","3.19","3.12","23.22M","1.53%"
"01.04.2020","3.14","3.15","3.19","3.14","25.19M","-0.32%"
"31.03.2020","3.15","3.18","3.19","3.15","21.35M","0.00%"
"30.03.2020","3.16","3.15","3.17","3.12","22.72M","-0.66%"
"27.03.2020","3.18","3.18","3.22","3.18","19.41M","0.66%"
"26.03.2020","3.16","3.16","3.19","3.14","22.70M","-0.32%"
"25.03.2020","3.17","3.16","3.18","3.15","22.57M","2.16%"
"24.03.2020","3.10","3.07","3.11","3.05","26.81M","2.38%"
"23.03.2020","3.03","3.08","3.08","3.01","22.99M","-2.82%"
"20.03.2020","3.12","3.07","3.12","3.06","14.69M","1.86%"
"19.03.2020","3.06","3.10","3.12","2.99","21.67M","-1.61%"
"18.03.2020","3.11","3.17","3.21","3.10","17.54M","-1.89%"
"17.03.2020","3.17","3.18","3.24","3.10","16.19M","-0.31%"
"16.03.2020","3.18","3.30","3.31","3.17","20.53M","-3.93%"
"13.03.2020","3.31","3.27","3.34","3.19","17.91M","-1.19%"
"12.03.2020","3.35","3.38","3.38","3.33","16.90M","-1.47%"
"11.03.2020","3.40","3.46","3.46","3.40","16.57M","-1.45%"
"10.03.2020","3.45","3.37","3.46","3.35","20.33M","2.07%"
"09.03.2020","3.38","3.46","3.46","3.37","26.07M","-3.15%"
"06.03.2020","3.49","3.53","3.53","3.49","13.13M","-1.69%"
"05.03.2020","3.55","3.49","3.56","3.48","20.16M","2.31%"
"04.03.2020","3.47","3.44","3.47","3.43","12.43M","0.58%"
"03.03.2020","3.45","3.46","3.49","3.43","16.08M","0.58%"
"02.03.2020","3.43","3.35","3.45","3.34","23.37M","3.31%"
"28.02.2020","3.32","3.40","3.40","3.31","16.22M","-3.21%"
"27.02.2020","3.43","3.41","3.46","3.41","14.95M","0.29%"
"26.02.2020","3.42","3.42","3.46","3.40","24.87M","-0.87%"
"25.02.2020","3.45","3.44","3.45","3.38","17.88M","-0.58%"
"24.02.2020","3.47","3.50","3.50","3.45","18.09M","-0.86%"
"21.02.2020","3.50","3.51","3.54","3.48","16.17M","-0.28%"
"20.02.2020","3.51","3.44","3.52","3.43","19.54M","2.03%"
"19.02.2020","3.44","3.43","3.46","3.43","17.95M","0.00%"
"18.02.2020","3.44","3.46","3.46","3.42","19.00M","-0.58%"
"17.02.2020","3.46","3.39","3.46","3.39","23.11M","2.06%"
"14.02.2020","3.39","3.37","3.40","3.36","18.30M","0.59%"
"13.02.2020","3.37","3.38","3.40","3.36","20.70M","-0.30%"
"12.02.2020","3.38","3.37","3.39","3.35","17.45M","0.30%"
"11.02.2020","3.37","3.33","3.37","3.33","23.20M","1.20%"
"10.02.2020","3.33","3.30","3.33","3.29","23.51M","0.00%"
"07.02.2020","3.33","3.31","3.33","3.29","32.32M","0.30%"
"06.02.2020","3.32","3.28","3.35","3.26","21.01M","1.22%"
"05.02.2020","3.28","3.25","3.29","3.23","26.51M","1.23%"
"04.02.2020","3.24","3.12","3.25","3.12","36.96M","3.85%"
"03.02.2020","3.12","3.10","3.19","3.10","35.70M","-9.04%"
"23.01.2020","3.43","3.50","3.50","3.40","26.31M","-2.83%"
"22.01.2020","3.53","3.52","3.54","3.46","19.35M","0.28%"
"21.01.2020","3.52","3.57","3.57","3.52","24.27M","-1.68%"
"20.01.2020","3.58","3.56","3.58","3.56","21.57M","0.56%"
"17.01.2020","3.56","3.56","3.58","3.55","17.78M","0.28%"
"16.01.2020","3.55","3.57","3.57","3.54","24.00M","-0.28%"
"15.01.2020","3.56","3.60","3.60","3.56","24.04M","-0.84%"
"14.01.2020","3.59","3.61","3.62","3.58","21.66M","-0.55%"
