date,bitcoin_var,dow_var,euro_stoxx50_var,nasdaq_var,nikkei_var,oro_var,petroleo_var,shangai_stock_exchange_var,sp_500_var
2021-01-01,1.42,0.05,-0.53,2.0,-0.45,0.34,0.25,2.17,0.64
2020-12-31,0.28,2.1,-0.27,0.77,2.66,0.09,0.83,1.23,0.13
2020-12-30,5.45,0.07,0.17,0.23,0.74,0.56,0.8,-0.29,-0.22
2020-12-29,1.18,-0.91,0.91,0.18,-0.04,0.13,-1.26,0.31,0.87
2020-12-28,3.03,0.07,0.11,0.52,0.54,-0.15,0.23,1.0,0.35
2020-12-27,-0.73,0.15,1.19,-1.5,0.33,0.27,2.34,-0.32,0.07
2020-12-26,7.15,-0.74,1.42,1.44,-1.04,0.42,-1.51,0.81,-0.21
2020-12-25,4.02,-1.04,-2.74,-0.43,-0.18,-0.66,-2.77,-1.93,-0.39
2020-12-24,2.06,3.4,-0.42,0.08,-0.16,-0.32,1.53,0.63,-0.35
2020-12-23,-2.37,0.0,0.5,1.1,0.18,-0.08,1.13,-0.55,0.58
2020-12-22,4.82,-0.55,0.61,-0.15,0.26,1.68,0.42,1.67,0.18
2020-12-21,-3.18,2.02,0.5,2.62,-0.17,0.2,1.34,0.2,1.29
2020-12-20,-1.55,-1.74,0.52,-1.3,0.3,1.27,0.9,0.0,-0.44
2020-12-19,3.1,-0.79,-1.04,0.54,-0.39,-0.62,-0.45,0.79,-0.13
2020-12-18,1.33,-0.42,-0.19,-0.88,-0.23,0.34,2.77,-0.93,-0.13
2020-12-17,6.9,0.2,0.09,-1.98,1.33,-0.06,-0.18,0.0,-0.79
2020-12-16,9.87,2.52,-0.12,0.07,-0.3,-1.94,-0.35,-0.92,0.28
2020-12-15,0.84,-3.34,-0.26,2.6,-0.76,0.48,-1.08,-0.27,-0.19
2020-12-14,0.51,2.71,0.63,0.32,-0.22,1.41,1.36,-1.15,0.88
2020-12-13,1.96,0.75,-0.12,-3.45,0.03,-0.06,0.8,0.22,-0.06
2020-12-12,4.36,-0.62,-0.11,-0.42,0.05,0.6,1.64,-0.17,0.18
2020-11-12,-1.23,0.98,0.94,1.5,1.34,0.62,-1.74,0.0,1.13
2020-10-12,-1.61,-4.31,-1.0,0.68,-0.79,2.13,-0.42,2.1,-0.46
2020-09-12,1.2,-1.83,0.48,-0.16,0.4,-0.4,1.22,-0.49,0.24
2020-08-12,-4.4,-2.25,-0.03,0.05,0.91,-1.05,-1.6,1.53,-0.16
2020-07-12,-1.08,3.2,0.11,1.0,0.5,-0.23,1.78,0.42,1.62
2020-06-12,1.22,2.21,1.3,-0.25,2.5,0.02,4.3,-1.15,0.56
2020-05-12,2.62,-1.1,-0.13,1.26,-0.42,-1.46,2.16,-0.56,-0.68
2020-04-12,-3.99,0.07,0.45,1.65,-0.36,-1.85,0.98,1.39,0.39
2020-03-12,1.12,1.51,-0.87,-1.29,-1.1,0.59,-0.19,0.22,-1.16
2020-02-12,2.39,1.02,0.39,-0.96,0.42,-0.66,0.94,0.85,-0.48
2020-01-12,-4.71,3.77,0.07,-0.23,2.05,-0.59,0.22,-1.38,1.16
